"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.048902766E2,4.766137881E1,1.765198311E1,1.173899994E2,1.063665676E1,1.429040375E2,6.000906205E0,6.000906205E0
1.058902928E2,4.766130497E1,1.765206640E1,1.173899994E2,1.033777142E1,1.429040375E2,6.000906205E0,6.000906205E0
1.068903093E2,4.766123199E1,1.765215647E1,1.173899994E2,1.086894226E1,1.429040375E2,6.000906205E0,6.000906205E0
1.078903245E2,4.766115490E1,1.765224793E1,1.173899994E2,1.123465633E1,1.429040375E2,6.000906205E0,6.000906205E0
1.088903406E2,4.766108076E1,1.765234002E1,1.173899994E2,1.086894226E1,1.429040375E2,6.000906205E0,6.000906205E0
1.098903577E2,4.766101003E1,1.765243315E1,1.173899994E2,1.067412472E1,1.429040375E2,6.000906205E0,6.000906205E0
1.108903741E2,4.766097799E1,1.765247117E1,1.173899994E2,1.106946754E1,1.429040375E2,6.000906205E0,6.000906205E0
1.118903897E2,4.766085386E1,1.765261963E1,1.173899994E2,1.138378239E1,1.417079620E2,6.000906205E0,6.000906205E0
1.128904061E2,4.766077201E1,1.765271419E1,1.173899994E2,1.138378239E1,1.417079620E2,6.000906205E0,6.000906205E0
1.138904231E2,4.766068831E1,1.765280719E1,1.173899994E2,1.163424397E1,1.417079620E2,6.000906205E0,6.000906205E0
1.148904387E2,4.766060663E1,1.765289605E1,1.173564499E2,1.149802399E1,1.417079620E2,6.000906205E0,6.000906205E0
1.158904556E2,4.766052350E1,1.765298711E1,1.172206685E2,1.149802399E1,1.417079620E2,6.000906205E0,6.000906205E0
1.168904712E2,4.766044057E1,1.765308245E1,1.170139507E2,1.149802399E1,1.417079620E2,6.000906205E0,6.000906205E0
1.178904878E2,4.766036158E1,1.765318251E1,1.167901966E2,1.156860828E1,1.417079620E2,6.000906205E0,6.000906205E0
1.188905034E2,4.766028028E1,1.765327869E1,1.166409978E2,1.154605293E1,1.417079620E2,6.000906205E0,6.000906205E0
1.198905206E2,4.766019962E1,1.765337587E1,1.165468665E2,1.154605293E1,1.417079620E2,6.000906205E0,6.000906205E0
1.208905364E2,4.766015874E1,1.765342286E1,1.164879737E2,1.154489326E1,1.417079620E2,6.000906205E0,6.000906205E0
1.218905520E2,4.766003540E1,1.765356749E1,1.164511991E2,1.129317093E1,1.434728241E2,6.000906205E0,6.000906205E0
1.228905697E2,4.765995790E1,1.765365049E1,1.164282132E2,1.038513756E1,1.428653717E2,6.000906205E0,6.000906205E0
1.238905855E2,4.765988796E1,1.765372608E1,1.164191580E2,1.038513756E1,1.428653717E2,6.000906205E0,6.000906205E0
1.248906022E2,4.765981990E1,1.765379666E1,1.164630218E2,9.793025017E0,1.440083313E2,6.000906205E0,6.000906205E0
1.258906190E2,4.765975207E1,1.765386927E1,1.165877771E2,9.319891930E0,1.440083313E2,6.000906205E0,6.000906205E0
1.268906355E2,4.765968678E1,1.765394059E1,1.168079217E2,8.752965927E0,1.440083313E2,6.000906205E0,6.000906205E0
1.278906517E2,4.765962376E1,1.765400890E1,1.170183517E2,8.752965927E0,1.440083313E2,6.000906205E0,6.000906205E0
1.288906680E2,4.765956231E1,1.765408169E1,1.171570720E2,8.752965927E0,1.440083313E2,6.000906205E0,6.000906205E0
1.298906846E2,4.765949870E1,1.765415133E1,1.172444425E2,8.677883148E0,1.459925690E2,6.000906205E0,6.000906205E0
1.308907005E2,4.765943835E1,1.765421926E1,1.172990887E2,8.769485474E0,1.459925690E2,6.000906205E0,6.000906205E0
1.318907171E2,4.765936957E1,1.765428192E1,1.173332139E2,8.962709427E0,1.459925690E2,6.000906205E0,6.000906205E0
1.328907329E2,4.765930368E1,1.765434826E1,1.173545342E2,8.769485474E0,1.459925690E2,6.000906205E0,6.000906205E0
1.338907504E2,4.765924263E1,1.765440719E1,1.173678448E2,8.483584404E0,1.459925690E2,6.000906205E0,6.000906205E0
1.348907659E2,4.765918120E1,1.765446956E1,1.173761659E2,8.182533264E0,1.465926361E2,6.000906205E0,6.000906205E0
1.358908042E2,4.765912053E1,1.765453159E1,1.173813513E2,8.306067467E0,1.465926361E2,6.000906205E0,6.000906205E0
1.368907992E2,4.765905629E1,1.765459130E1,1.173846027E2,8.306067467E0,1.465926361E2,6.000906205E0,6.000906205E0
1.378908157E2,4.765899206E1,1.765465274E1,1.173866307E2,8.394023895E0,1.470162964E2,6.000906205E0,6.000906205E0
1.388908324E2,4.765892709E1,1.765471323E1,1.173878910E2,8.426582336E0,1.470162964E2,6.000906205E0,6.000906205E0
1.398908484E2,4.765886380E1,1.765477291E1,1.173886762E2,8.426582336E0,1.496336365E2,6.000906205E0,6.000906205E0
1.408908672E2,4.765881059E1,1.765482167E1,1.173891804E2,7.557894707E0,1.496336365E2,6.000906205E0,6.000906205E0
1.418908821E2,4.765875108E1,1.765487447E1,1.173894780E2,6.845374584E0,1.539777832E2,6.000906205E0,6.000906205E0
1.428908978E2,4.765873889E1,1.765489266E1,1.173896726E2,3.299561977E0,1.539777832E2,6.000906205E0,6.000906205E0
1.438909136E2,4.765871341E1,1.765491323E1,1.173898019E2,3.299561977E0,1.539777832E2,6.000906205E0,6.000906205E0
1.448909302E2,4.765870304E1,1.765491531E1,1.173898698E2,1.994686007E0,1.539777832E2,6.000906205E0,6.000906205E0
1.458909477E2,4.765868807E1,1.765492494E1,1.173899178E2,1.588820696E0,1.539777832E2,6.000906205E0,6.000906205E0
1.468909634E2,4.765867597E1,1.765494535E1,1.173899500E2,1.736774564E0,1.539777832E2,6.000906205E0,6.000906205E0
1.478909798E2,4.765865417E1,1.765495013E1,1.173899670E2,2.702142477E0,1.539777832E2,6.000906205E0,6.000906205E0
1.488909961E2,4.765861782E1,1.765496738E1,1.173899824E2,2.702142477E0,1.539777832E2,6.000906205E0,6.000906205E0
1.498910129E2,4.765857236E1,1.765499961E1,1.173899840E2,5.753264427E0,1.539777832E2,6.000906205E0,6.000906205E0
1.508910296E2,4.765852160E1,1.765503350E1,1.173899841E2,6.097642422E0,1.539777832E2,6.000906205E0,6.000906205E0
1.518910458E2,4.765848379E1,1.765506655E1,1.173899979E2,6.097642422E0,1.539777832E2,6.000906205E0,6.000906205E0
1.528910621E2,4.765839637E1,1.765508973E1,1.173899992E2,5.908181667E0,1.782047424E2,6.000906205E0,6.000906205E0
1.538910791E2,4.765837252E1,1.765510406E1,1.173899994E2,5.679964542E0,1.651312561E2,6.000906205E0,6.000906205E0
1.548910947E2,4.765833951E1,1.765514068E1,1.173899994E2,4.286006451E0,1.415304398E2,6.000906205E0,6.000906205E0
1.558911124E2,4.765830882E1,1.765518507E1,1.173899994E2,5.222754002E0,1.193685797E2,6.000906205E0,6.000906205E0
1.568911279E2,4.765830150E1,1.765524411E1,1.173899994E2,4.286006451E0,8.436226191E1,6.000906205E0,6.000906205E0
1.578911442E2,4.765830031E1,1.765530410E1,1.173899994E2,3.462294817E0,5.444459901E1,6.000906205E0,6.000906205E0
1.588911611E2,4.765831567E1,1.765535095E1,1.174220245E2,3.249629498E0,4.428065597E1,6.000906205E0,6.000906205E0
1.598911768E2,4.765833758E1,1.765537573E1,1.175022137E2,3.249629498E0,4.689740731E1,6.000906205E0,6.000906205E0
1.608911942E2,4.765834905E1,1.765539028E1,1.175884553E2,2.034667253E0,5.509567654E1,4.000604137E0,4.000604137E0
1.618912108E2,4.765835285E1,1.765539267E1,1.176636292E2,1.604381017E-2,6.118696560E1,4.000604137E0,4.000604137E0
1.628912263E2,4.765835537E1,1.765538563E1,1.177156274E2,1.289400756E-1,6.153947850E1,4.000604137E0,4.000604137E0
1.638912442E2,4.765836410E1,1.765539170E1,1.177400396E2,1.080637932E0,6.596584406E1,4.000604137E0,4.000604137E0
1.648912600E2,4.765837876E1,1.765542766E1,1.177618580E2,1.080637932E0,7.581887005E1,6.000906205E0,6.000906205E0
1.658912756E2,4.765831230E1,1.765538699E1,1.178198915E2,4.371758938E0,7.134941282E1,6.000906205E0,6.000906205E0
1.668912933E2,4.765843240E1,1.765556686E1,1.179513785E2,8.248823166E0,5.765057373E1,8.001208274E0,8.001208274E0
1.678913095E2,4.765847783E1,1.765567302E1,1.181078026E2,9.487459183E0,5.765057373E1,8.001208274E0,8.001208274E0
1.688913255E2,4.765851028E1,1.765574886E1,1.182129287E2,9.487459183E0,5.765057373E1,8.001208274E0,8.001208274E0
1.698913414E2,4.765854856E1,1.765594541E1,1.182793205E2,1.027945995E1,6.621472168E1,6.000906205E0,6.000906205E0
1.708913589E2,4.765857107E1,1.765609235E1,1.183208688E2,1.150865650E1,6.549964142E1,6.000906205E0,6.000906205E0
1.718913753E2,4.765861078E1,1.765626203E1,1.183468177E2,1.150865650E1,5.750657272E1,8.001208274E0,8.001208274E0
1.728913918E2,4.765866843E1,1.765637439E1,1.183630357E2,1.112440395E1,4.907852173E1,8.001208274E0,8.001208274E0
1.738914080E2,4.765872784E1,1.765647300E1,1.183731581E2,1.112440395E1,4.594353485E1,8.001208274E0,8.001208274E0
1.748914244E2,4.765880889E1,1.765657766E1,1.184827290E2,1.201082134E1,4.188290787E1,6.000906205E0,6.000906205E0
1.758914423E2,4.765889875E1,1.765667304E1,1.186872927E2,1.224951839E1,3.914935303E1,6.000906205E0,6.000906205E0
1.768914578E2,4.765899744E1,1.765676974E1,1.189251410E2,1.224951839E1,3.763144684E1,6.000906205E0,6.000906205E0
1.778914745E2,4.765908719E1,1.765686953E1,1.190147339E2,1.231745625E1,3.763144684E1,6.000906205E0,6.000906205E0
1.788914902E2,4.765918226E1,1.765696989E1,1.190814127E2,1.237885475E1,3.763144684E1,4.000604137E0,4.000604137E0
1.798915070E2,4.765928335E1,1.765705162E1,1.191738838E2,1.237885475E1,3.763144684E1,4.000604137E0,4.000604137E0
1.808915237E2,4.765937914E1,1.765714488E1,1.191637537E2,1.231708622E1,3.763144684E1,4.000604137E0,4.000604137E0
1.818915402E2,4.765947164E1,1.765723701E1,1.191689755E2,1.216028976E1,3.628992844E1,4.000604137E0,4.000604137E0
1.828915566E2,4.765955393E1,1.765733791E1,1.192439849E2,1.115642548E1,3.628992844E1,4.000604137E0,4.000604137E0
1.838915739E2,4.765963340E1,1.765743403E1,1.192980130E2,1.115642548E1,3.628992844E1,4.000604137E0,4.000604137E0
1.848915898E2,4.765970818E1,1.765753244E1,1.193324609E2,1.111415386E1,4.303297424E1,6.000906205E0,6.000906205E0
1.858916065E2,4.765978745E1,1.765762823E1,1.193540606E2,1.109722805E1,4.303297424E1,6.000906205E0,6.000906205E0
1.868916228E2,4.765986456E1,1.765771892E1,1.193675502E2,1.031383419E1,4.303474426E1,6.000906205E0,6.000906205E0
1.878916394E2,4.765993786E1,1.765780737E1,1.193759716E2,1.031383419E1,4.303474426E1,6.000906205E0,6.000906205E0
1.888916553E2,4.765999606E1,1.765790765E1,1.193888301E2,1.027902412E1,4.303474426E1,6.000906205E0,6.000906205E0
1.898916720E2,4.766005111E1,1.765802013E1,1.193917639E2,1.003658962E1,4.303474426E1,6.000906205E0,6.000906205E0
1.908916883E2,4.766009907E1,1.765832515E1,1.193913431E2,9.080574036E0,8.267026520E1,1.458010818E1,1.458010818E1
1.918917048E2,4.766010428E1,1.765828911E1,1.194957398E2,9.080574036E0,8.267026520E1,6.000906205E0,6.000906205E0
1.928917215E2,4.766012003E1,1.765837893E1,1.197156751E2,8.491132736E0,5.788402557E1,6.000906205E0,6.000906205E0
1.938917390E2,4.766015481E1,1.765845822E1,1.199572715E2,7.020823002E0,7.396519428E0,6.000906205E0,6.000906205E0
1.948917539E2,4.766022554E1,1.765847652E1,1.201185818E2,1.023657036E1,1.981345415E0,6.000906205E0,6.000906205E0
1.958917705E2,4.766024644E1,1.765847208E1,1.202203650E2,1.132697010E1,1.981345415E0,6.000906205E0,6.000906205E0
1.968917873E2,4.766044606E1,1.765846060E1,1.202840467E2,1.132697010E1,2.679261398E1,6.000906205E0,6.000906205E0
1.978918041E2,4.766053400E1,1.765856108E1,1.203238270E2,1.155863190E1,3.028931999E1,6.000906205E0,6.000906205E0
1.988918202E2,4.766063286E1,1.765865548E1,1.203486654E2,1.339638329E1,2.982200432E1,6.000906205E0,6.000906205E0
1.998918364E2,4.766074383E1,1.765873646E1,1.203641817E2,1.339638329E1,3.900577927E1,6.000906205E0,6.000906205E0
2.008918530E2,4.766084089E1,1.765883656E1,1.203738770E2,1.284369755E1,3.900577927E1,6.000906205E0,6.000906205E0
2.018918700E2,4.766092944E1,1.765893554E1,1.203782660E2,1.236471558E1,3.900577927E1,6.000906205E0,6.000906205E0
2.028918866E2,4.766101961E1,1.765903955E1,1.204208512E2,1.208574390E1,3.900577927E1,6.000906205E0,6.000906205E0
2.038919028E2,4.766110664E1,1.765914290E1,1.204735869E2,1.208708477E1,3.900577927E1,6.000906205E0,6.000906205E0
