"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.267904625E0,-3.319391981E-3,-1.295492612E-2,-6.000827998E-4
3.277945625E0,-1.705516130E-3,-3.148493543E-2,-8.581042290E-3
3.287985625E0,-1.243906096E-3,-2.055275813E-2,-1.032990403E-2
3.298025625E0,-6.265296601E-3,-1.294677146E-2,-6.958074868E-3
3.308066625E0,-8.071629331E-3,8.020875975E-3,3.488421440E-3
3.318106625E0,-1.447573118E-2,1.359513961E-2,1.674009487E-3
3.328146625E0,-1.402723975E-2,2.252408490E-2,-1.460276544E-4
3.338186625E0,-1.451007091E-2,-2.685131272E-3,-1.197499037E-2
3.348227625E0,-9.871238843E-3,4.816915374E-3,-9.509878233E-3
3.358267625E0,-9.839015082E-3,-1.123395562E-2,-8.158855140E-3
3.368307625E0,-1.411624625E-2,7.010507397E-4,-2.575436607E-3
3.378348625E0,-1.385712065E-2,-5.283072125E-3,2.930555493E-4
3.388388625E0,-1.120718382E-2,2.334933262E-3,-3.919288516E-3
3.398428625E0,-1.817108318E-2,-1.065223850E-2,-1.151675545E-2
3.408468625E0,-1.594517194E-2,-1.004941761E-2,-1.823899709E-2
3.418478625E0,-2.069039270E-2,-3.165146569E-3,-1.860784553E-2
3.428518625E0,-2.430205978E-2,4.265769385E-4,-1.268423349E-2
3.438559625E0,-2.401097678E-2,1.045843773E-2,-1.424084976E-2
3.448599625E0,-3.143052012E-2,4.964238964E-3,-4.833264276E-3
3.458639625E0,-2.659102529E-2,8.269487880E-3,-1.161340624E-2
3.468680625E0,-2.272389829E-2,3.700116649E-3,-1.727143116E-2
3.478720625E0,-2.845422365E-2,-1.225195266E-2,-2.077535354E-2
3.488760625E0,-2.700833417E-2,7.529778872E-3,-2.017367072E-2
3.498800625E0,-2.685413696E-2,4.014938604E-3,-1.512910984E-2
3.508841625E0,-2.853550017E-2,-1.189545728E-3,-1.537482999E-2
3.518881625E0,-3.368205577E-2,-1.766865328E-2,-1.659535803E-2
3.528921625E0,-2.296933718E-2,-3.824431449E-3,-1.877883263E-2
3.538962625E0,-2.031815983E-2,-8.146742359E-3,-2.163401060E-2
3.549002625E0,-2.034129389E-2,8.487900719E-3,-2.230655402E-2
3.559042625E0,-2.361964434E-2,6.767498795E-3,-1.845002919E-2
3.569082625E0,-2.291268855E-2,9.637119249E-3,-1.885477826E-2
3.579123625E0,-2.861451544E-2,3.735288046E-3,-1.738817617E-2
3.589163625E0,-2.394874766E-2,1.543051563E-2,-1.716231927E-2
3.599203625E0,-2.317509986E-2,7.833316922E-3,-2.409639210E-2
3.609244625E0,-2.532670274E-2,2.015602216E-2,-2.304114774E-2
3.619284625E0,-2.482656017E-2,1.426697429E-2,-1.613131166E-2
3.629324625E0,-1.786164753E-2,2.070846222E-2,-1.310423203E-2
3.639364625E0,-2.228861861E-2,-9.941705503E-4,-1.736236177E-2
3.649405625E0,-1.666266844E-2,-1.029084716E-2,-2.136965096E-2
3.659445625E0,-1.037095115E-2,-1.051668264E-2,-1.797944680E-2
3.669485625E0,-4.806593060E-3,1.250055153E-3,-2.097937092E-2
3.679526625E0,-8.237278089E-3,6.506602746E-3,-1.872074232E-2
3.689566625E0,8.008070290E-4,1.558071934E-2,-2.015517652E-2
3.699606625E0,4.012312740E-3,1.636635140E-2,-2.162444592E-2
3.709646625E0,-1.852187328E-3,2.486655861E-2,-1.923757792E-2
3.719687625E0,6.297085434E-3,1.428981312E-2,-2.101550251E-2
3.729727625E0,9.460324422E-3,2.444922738E-2,-2.015750483E-2
3.739767625E0,1.015434414E-2,1.999722235E-2,-2.121451497E-2
3.749808625E0,9.933099151E-3,-8.182981983E-4,-1.853397116E-2
3.759848625E0,2.122010849E-2,3.796959762E-3,-1.472964510E-2
3.769888625E0,2.946148068E-2,-1.045487635E-2,-1.859829575E-2
3.779928625E0,3.430070728E-2,-1.135875285E-2,-2.140313387E-2
3.789969625E0,3.340253606E-2,-2.984497929E-3,-1.925241761E-2
3.800009625E0,3.384196013E-2,1.694872975E-2,-2.039624564E-2
3.810049625E0,3.370160982E-2,6.448951550E-3,-1.437563635E-2
3.820089625E0,4.330206662E-2,7.928883657E-3,-1.878486387E-2
3.830130625E0,4.656002298E-2,-4.729430191E-3,-2.453441173E-2
3.840140625E0,4.322041944E-2,-8.957197890E-3,-2.495785430E-2
3.850180625E0,4.044505581E-2,6.902248599E-3,-2.207476087E-2
3.860220625E0,3.729453683E-2,1.447601244E-2,-1.804540120E-2
3.870260625E0,3.478920832E-2,1.702595875E-2,-2.032531053E-2
3.880301625E0,4.076347873E-2,2.411875501E-2,-1.676626131E-2
3.890341625E0,3.510646895E-2,5.829334259E-4,-2.249337733E-2
3.900381625E0,3.800451756E-2,-5.996938795E-3,-2.738374099E-2
3.910422625E0,3.377997875E-2,-1.033779047E-2,-2.527084760E-2
3.920462625E0,2.976766042E-2,1.106683351E-2,-1.889576949E-2
