"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.710380792E0,-1.422609389E-2,-4.930016585E-3,-1.394428499E-2
1.720420792E0,-1.443890575E-2,-4.952920135E-3,-1.520370040E-2
1.730461792E0,-1.458884124E-2,1.161430962E-3,-1.262789126E-2
1.740501792E0,-1.499863528E-2,-4.033661913E-3,-6.968108006E-3
1.750541792E0,-1.178579777E-2,-1.031206455E-2,-7.430165075E-3
1.760582792E0,-7.491470315E-3,-2.439533547E-2,-1.417797245E-2
1.770622792E0,4.439502954E-4,-2.594556101E-2,-1.849282533E-2
1.780662792E0,2.184072509E-3,-3.117361851E-2,-1.651981845E-2
1.790702792E0,5.873882212E-3,-2.488163486E-2,-1.702768356E-2
1.800743792E0,4.347611219E-3,-1.864370517E-2,-1.073077694E-2
1.810783792E0,9.843043983E-3,-1.893265918E-2,-9.243402630E-3
1.820823792E0,1.316230185E-2,-1.070527919E-2,-1.503288932E-2
1.830864792E0,1.886279881E-2,-1.833756920E-3,-2.135203965E-2
1.840873792E0,2.081464790E-2,2.677900717E-3,-2.088052407E-2
1.850914792E0,2.391536534E-2,-4.129405133E-3,-1.512809377E-2
1.860954792E0,2.332021296E-2,9.120319039E-3,-1.352724992E-2
1.870994792E0,2.377082035E-2,1.061728224E-2,-9.617995471E-3
1.881034792E0,2.026593685E-2,1.367049478E-2,-1.078121830E-2
1.891074250E0,2.191416919E-2,-1.254353207E-2,-1.486624125E-2
1.901114250E0,2.737004682E-2,-6.682588253E-3,-1.719976030E-2
1.911154250E0,2.500755712E-2,-1.341426000E-2,-2.134550363E-2
1.921195250E0,2.834236622E-2,-1.498499326E-2,-1.642264985E-2
1.931235250E0,2.720466442E-2,-1.376153715E-2,-1.330888085E-2
1.941275250E0,2.144245431E-2,-1.757072471E-2,-1.206275355E-2
1.951315250E0,2.943220548E-2,-1.551103592E-2,-1.430247258E-2
1.961356250E0,2.659127116E-2,-1.638867706E-2,-2.251173370E-2
1.971396250E0,3.240122646E-2,-2.156399935E-2,-2.887029760E-2
1.981406250E0,3.218614683E-2,-2.463501133E-2,-2.810191736E-2
1.991446250E0,3.000927903E-2,-2.775890008E-2,-2.544674277E-2
2.001486250E0,3.221685812E-2,-1.530869491E-2,-2.177034505E-2
2.011527250E0,3.232285380E-2,-1.346205920E-2,-2.572833560E-2
2.021567250E0,3.657036647E-2,-1.015257090E-2,-3.408931941E-2
2.031607250E0,4.058801010E-2,-5.581521429E-3,-3.446748853E-2
2.041647250E0,4.838054255E-2,1.087988354E-2,-3.270987049E-2
2.051688250E0,5.285332352E-2,1.545839012E-2,-2.519203350E-2
2.061728250E0,5.575041473E-2,1.640158333E-2,-2.648788132E-2
2.071768250E0,5.930120498E-2,1.209844649E-2,-3.223205358E-2
2.081809250E0,5.746469274E-2,1.321988553E-2,-3.937836736E-2
2.091849250E0,5.457302928E-2,6.225092337E-3,-4.305299371E-2
2.101889250E0,5.147993192E-2,-1.822596416E-3,-3.761381656E-2
2.111899250E0,3.739580512E-2,-6.439186167E-3,-3.498953953E-2
2.121939250E0,3.634676337E-2,-6.176321302E-3,-3.566851467E-2
2.131980250E0,3.550919890E-2,-2.622865606E-3,-4.243107885E-2
2.142020250E0,2.292009443E-2,-4.748512059E-3,-4.779659957E-2
2.152060250E0,9.236241691E-3,8.510500193E-4,-4.859208688E-2
2.162100250E0,-9.077684954E-4,5.211122334E-4,-4.571801051E-2
2.172141250E0,-1.407044102E-2,-1.334197260E-2,-4.725518823E-2
2.182181250E0,-2.046208084E-2,-1.985600963E-2,-5.101945996E-2
2.192221250E0,-2.962761559E-2,-2.326432243E-2,-5.822064728E-2
2.202261250E0,-4.121263325E-2,-3.062556498E-2,-6.528867781E-2
2.212302250E0,-5.464428663E-2,-1.584901661E-2,-6.543461978E-2
2.222342250E0,-6.990543008E-2,-9.211723693E-3,-6.427982450E-2
2.232382250E0,-8.193466067E-2,-8.357115090E-3,-5.642243475E-2
2.242392250E0,-8.416076005E-2,2.129045315E-3,-5.608339235E-2
2.252432250E0,-8.031409234E-2,-6.906261202E-3,-6.100278720E-2
2.262473250E0,-8.764457703E-2,-1.599202864E-2,-6.671852618E-2
2.272513250E0,-9.178233147E-2,-2.584732138E-2,-7.393649220E-2
2.282553250E0,-9.408057481E-2,-9.449511766E-3,-7.676900923E-2
2.292594250E0,-9.582255036E-2,-1.395025477E-2,-7.344324887E-2
2.302634250E0,-9.778087586E-2,4.379329272E-3,-6.302741170E-2
2.312674250E0,-8.673328161E-2,3.480512649E-3,-5.295054615E-2
2.322714250E0,-6.953169405E-2,-8.739912882E-4,-5.997411162E-2
2.332755250E0,-6.147349998E-2,-2.274573408E-2,-6.948798150E-2
2.342795250E0,-3.929178789E-2,-3.279754519E-2,-7.093343139E-2
2.352835250E0,-3.267436847E-2,-4.458682612E-2,-7.863130420E-2
2.362876250E0,-1.433864515E-2,-3.922814131E-2,-6.702824682E-2
2.372885250E0,-6.481325254E-4,-5.024457350E-2,-6.997263432E-2
2.382926250E0,1.246259734E-2,-9.436381608E-2,-7.372783870E-2
2.392966250E0,4.175497219E-2,-8.483555913E-2,-7.199225575E-2
2.403006250E0,5.397180840E-2,-9.992648661E-2,-8.930526674E-2
2.413046250E0,7.172284275E-2,-7.585977018E-2,-9.469977021E-2
2.423087250E0,6.987363845E-2,-6.011710688E-2,-9.320342541E-2
2.433127250E0,8.523954451E-2,1.053788885E-2,-6.507937610E-2
2.443167250E0,9.374949336E-2,3.380286507E-3,-5.487210304E-2
2.453208250E0,1.052516922E-1,-2.418982238E-2,-7.067982852E-2
2.463248250E0,1.145481318E-1,-4.359561950E-2,-9.309291095E-2
2.473288250E0,1.327630877E-1,-5.875060707E-2,-1.092082337E-1
2.483328250E0,1.385579556E-1,-7.631370425E-2,-1.153045669E-1
2.493369250E0,1.303130686E-1,-5.893977731E-2,-9.713409096E-2
2.503409250E0,1.305186301E-1,-3.880650923E-2,-7.509192079E-2
2.513419250E0,1.354326904E-1,-1.552302390E-2,-7.292304933E-2
2.523459250E0,1.407131255E-1,-1.047412679E-2,-8.322885633E-2
2.533499250E0,1.418979615E-1,-1.419378445E-3,-1.032997742E-1
2.543540250E0,1.461549699E-1,3.273441456E-3,-1.120843738E-1
2.553580250E0,1.412225366E-1,-5.671317689E-3,-1.155736446E-1
2.563620250E0,1.365977824E-1,2.475711517E-3,-9.742787480E-2
2.573660250E0,1.280889809E-1,-6.000863388E-3,-8.075834811E-2
2.583701250E0,1.217649430E-1,-1.947421581E-2,-8.439255506E-2
2.593741250E0,1.088446081E-1,-3.936696053E-2,-9.342812747E-2
2.603781250E0,9.673585743E-2,-6.563650072E-2,-1.090072989E-1
2.613822250E0,7.583910227E-2,-8.322321624E-2,-1.153698638E-1
2.623862250E0,4.532786831E-2,-6.621447206E-2,-9.442245960E-2
2.633902250E0,2.487106249E-2,-4.475685209E-2,-7.950716466E-2
2.643912250E0,-1.993382350E-3,-3.029049002E-2,-7.108015567E-2
2.653952250E0,-1.407028548E-2,-3.479116131E-3,-7.502563298E-2
2.663992250E0,-1.748521626E-2,9.459802881E-3,-9.333644062E-2
2.674033250E0,-2.523181960E-2,-3.629942983E-2,-1.136433110E-1
2.684073250E0,-3.877431899E-2,-4.865884781E-2,-1.002110243E-1
2.694113250E0,-5.768994987E-2,-4.085898027E-2,-7.482949644E-2
2.704154250E0,-7.866777480E-2,-2.698195539E-2,-5.467315018E-2
2.714194250E0,-8.279833198E-2,-3.236047551E-2,-5.612670630E-2
2.724234250E0,-9.411743283E-2,-3.043299168E-2,-7.374237478E-2
2.734274250E0,-1.003737301E-1,-3.016321361E-2,-9.491290897E-2
2.744315250E0,-9.837546945E-2,-1.364532113E-2,-1.007695571E-1
2.754355250E0,-9.795096517E-2,-2.263769973E-3,-8.428645134E-2
2.764395250E0,-1.015586555E-1,1.739374921E-2,-6.648038328E-2
2.774405250E0,-9.756924212E-2,1.966595836E-2,-5.793749914E-2
2.784445250E0,-8.617428690E-2,1.155280881E-2,-6.983073056E-2
2.794486250E0,-8.056673408E-2,1.888635382E-2,-7.925511897E-2
2.804526250E0,-7.575235516E-2,1.746163145E-2,-9.440149367E-2
2.814566250E0,-7.522318512E-2,5.029334873E-2,-7.971203327E-2
2.824606250E0,-7.768945396E-2,7.380073518E-2,-6.678966433E-2
